No,Urutan,Position,X,Y,Formation
0,1,GK,40,10,4-2-3-1
1,2,DEF1,15,35,4-2-3-1
2,3,DEF2,30,35,4-2-3-1
3,4,DEF3,50,35,4-2-3-1
4,5,DEF4,65,35,4-2-3-1
5,6,MID1,15,60,4-2-3-1
6,7,MID2,40,60,4-2-3-1
7,8,MID3,65,60,4-2-3-1
8,9,MID4,20,90,4-2-3-1
9,10,MID5,60,90,4-2-3-1
10,11,FOR,40,110,4-2-3-1
11,1,GK,40,10,4-1-2-1-2
12,2,DEF1,15,35,4-1-2-1-2
13,3,DEF2,30,35,4-1-2-1-2
14,4,DEF3,50,35,4-1-2-1-2
15,5,DEF4,65,35,4-1-2-1-2
16,6,MID1,40,60,4-1-2-1-2
17,7,MID2,20,80,4-1-2-1-2
18,8,MID3,60,80,4-1-2-1-2
19,9,MID4,15,110,4-1-2-1-2
20,10,MID5,40,100,4-1-2-1-2
21,11,FOR,65,110,4-1-2-1-2
22,1,GK,40,10,3-4-2-1
23,2,DEF1,15,35,3-4-2-1
24,3,DEF2,40,35,3-4-2-1
25,4,DEF3,65,35,3-4-2-1
26,5,DEF4,15,60,3-4-2-1
27,6,MID1,30,60,3-4-2-1
28,7,MID2,50,60,3-4-2-1
29,8,MID3,65,60,3-4-2-1
30,9,MID4,30,90,3-4-2-1
31,10,MID5,50,90,3-4-2-1
32,11,FOR,40,110,3-4-2-1
33,1,GK,40,10,4-3-1-2
34,2,DEF1,15,35,4-3-1-2
35,3,DEF2,30,35,4-3-1-2
36,4,DEF3,50,35,4-3-1-2
37,5,DEF4,65,35,4-3-1-2
38,6,MID1,20,60,4-3-1-2
39,7,MID2,40,60,4-3-1-2
40,8,MID3,60,60,4-3-1-2
41,9,MID4,40,90,4-3-1-2
42,10,MID5,15,110,4-3-1-2
43,11,FOR,65,110,4-3-1-2
44,1,GK,40,10,4-4-2
45,2,DEF1,15,35,4-4-2
46,3,DEF2,30,35,4-4-2
47,4,DEF3,50,35,4-4-2
48,5,DEF4,65,35,4-4-2
49,6,MID1,15,60,4-4-2
50,7,MID2,30,60,4-4-2
51,8,MID3,50,60,4-4-2
52,9,MID4,65,60,4-4-2
53,10,MID5,30,110,4-4-2
54,11,FOR,50,110,4-4-2
55,1,GK,40,10,4-3-3
56,2,DEF1,15,35,4-3-3
57,3,DEF2,30,35,4-3-3
58,4,DEF3,50,35,4-3-3
59,5,DEF4,65,35,4-3-3
60,6,MID1,15,60,4-3-3
61,7,MID2,40,60,4-3-3
62,8,MID3,65,60,4-3-3
63,9,MID4,20,90,4-3-3
64,10,MID5,60,90,4-3-3
65,11,FOR,40,110,4-3-3
66,1,GK,40,10,4-2-2-2
67,2,DEF1,15,35,4-2-2-2
68,3,DEF2,30,35,4-2-2-2
69,4,DEF3,50,35,4-2-2-2
70,5,DEF4,65,35,4-2-2-2
71,6,MID1,20,60,4-2-2-2
72,7,MID2,60,60,4-2-2-2
73,8,MID3,20,85,4-2-2-2
74,9,MID4,60,85,4-2-2-2
75,10,MID5,20,110,4-2-2-2
76,11,FOR,60,110,4-2-2-2
77,1,GK,40,10,4-4-1-1
78,2,DEF1,15,35,4-4-1-1
79,3,DEF2,30,35,4-4-1-1
80,4,DEF3,50,35,4-4-1-1
81,5,DEF4,65,35,4-4-1-1
82,6,MID1,15,60,4-4-1-1
83,7,MID2,30,60,4-4-1-1
84,8,MID3,50,60,4-4-1-1
85,9,MID4,65,60,4-4-1-1
86,10,MID5,40,90,4-4-1-1
87,11,FOR,40,110,4-4-1-1
