x,y,xg,team,minute,result
0.7169999694824218,0.6329999923706054,0.012882760725915432,Wolverhampton Wanderers,5,BlockedShot
0.7669999694824219,0.72,0.012037040665745735,Wolverhampton Wanderers,7,SavedShot
0.89,0.5659999847412109,0.07608702778816223,Wolverhampton Wanderers,13,MissedShots
0.9059999847412109,0.4570000076293945,0.42616507411003113,Wolverhampton Wanderers,25,Goal
0.7219999694824218,0.48,0.017712416127324104,Wolverhampton Wanderers,46,ShotOnPost
0.86,0.6359999847412109,0.33695319294929504,Wolverhampton Wanderers,47,MissedShots
0.8859999847412109,0.29100000381469726,0.058933064341545105,Wolverhampton Wanderers,52,SavedShot
0.8480000305175781,0.46599998474121096,0.08312749117612839,Wolverhampton Wanderers,55,Goal
0.735999984741211,0.5109999847412109,0.020939093083143234,Wolverhampton Wanderers,61,SavedShot
0.705,0.524000015258789,0.009936681017279625,Wolverhampton Wanderers,68,BlockedShot
0.8830000305175781,0.485,0.06011028215289116,Wolverhampton Wanderers,81,MissedShots
0.885,0.44799999237060545,0.054392796009778976,Wolverhampton Wanderers,85,SavedShot
0.765,0.69,0.0116222919896245,Wolverhampton Wanderers,94,SavedShot
0.89,0.32099998474121094,0.059847235679626465,Wolverhampton Wanderers,94,SavedShot
0.769000015258789,0.43900001525878907,0.028878578916192055,Leeds,2,MissedShots
0.955999984741211,0.5479999923706055,0.6210006475448608,Leeds,5,MissedShots
0.8880000305175781,0.38799999237060545,0.0972406268119812,Leeds,10,MissedShots
0.7269999694824218,0.39599998474121095,0.0142974266782403,Leeds,30,MissedShots
0.7569999694824219,0.5640000152587891,0.06719356030225754,Leeds,40,BlockedShot
0.885,0.27899999618530275,0.030178936198353767,Leeds,62,ShotOnPost
0.9630000305175781,0.40599998474121096,0.08177991211414337,Leeds,62,BlockedShot
0.9369999694824219,0.4859999847412109,0.5333424210548401,Leeds,62,Goal
0.865999984741211,0.59,0.2673850953578949,Leeds,65,ShotOnPost
0.9669999694824218,0.6430000305175781,0.05897708237171173,Leeds,65,SavedShot
0.970999984741211,0.405,0.30516496300697327,Leeds,65,Goal
0.94,0.5170000076293946,0.5984680652618408,Leeds,85,BlockedShot
0.8019999694824219,0.27899999618530275,0.020698323845863342,Leeds,86,SavedShot
0.9180000305175782,0.43099998474121093,0.06303486973047256,Leeds,87,MissedShots
0.9259999847412109,0.5790000152587891,0.09278081357479095,Leeds,90,Goal
